KPI,Justification,Calcul,Colonnes,natural_name
Tackles_per90,Activité et efficacité au sol pour stopper les attaques.,TklW/90s si brut sinon TklW_per_90,"TklW, 90s ou TklW_per_90",tacles / 90
Interceptions_per90,Anticipation et lecture des passes adverses.,Int/90s si brut sinon Int_per_90,"Int, 90s ou Int_per_90",interceptions / 90
Tkl_plus_Int_per90,Volume d’actions défensives directes combinées.,(Tkl + Int)/90s si brut sinon Tkl+Int_per_90,"Tkl, Int, 90s ou Tkl+Int_per_90",tacles + interceptions / 90
Pressures_per90,Capacité à gêner la relance et récupérer le ballon.,Press/90s si brut sinon Press_per_90,"Press, 90s ou Press_per_90",pressions / 90
Pressures_Def3rd_per90,Volume de pressions réussies dans le tiers défensif.,Press_Def3rd/90s si brut sinon Press_Def3rd_per_90,"Press_Def3rd, 90s ou Press_Def3rd_per_90",pressions dans le tiers défensif / 90
AerialWin_pct,Domination aérienne sur ballons longs et CPA.,AerialsWon / (AerialsWon + AerialsLost),"AerialsWon, AerialsLost",% de duels aériens gagnés
Clearances_per90,Gestion du danger dans la surface et zones chaudes.,Clr/90s si brut sinon Clr_per_90,"Clr, 90s ou Clr_per_90",dégagements / 90
Blocks_per90,Protection du but et coupure des lignes de passe.,Blocks/90s si brut sinon Blocks_per_90,"Blocks, 90s ou Blocks_per_90",blocages / 90
ShotsBlocked_per90,Capacité à contrer les tirs dangereux.,ShBlocks/90s si brut sinon ShBlocks_per_90,"ShBlocks, 90s ou ShBlocks_per_90",tirs bloqués / 90
DribbledPast_per90,Fréquence à être éliminé en un-contre-un.,DribbledPast/90s si brut sinon DribbledPast_per_90,"DribbledPast, 90s ou DribbledPast_per_90",dribbles subis / 90
Fouls_per90,Discipline et gestion du risque de coups de pied arrêtés.,Fls/90s si brut sinon Fls_per_90,"Fls, 90s ou Fls_per_90",fautes / 90
CardsY_per90,Risque disciplinaire et disponibilité du joueur.,CrdY/90s si brut sinon CrdY_per_90,"CrdY, 90s ou CrdY_per_90",cartons jaunes / 90
ErrorsToShot_per90,Erreurs menant à un tir adverse.,ErrToShot/90s si brut sinon ErrToShot_per_90,"ErrToShot, 90s ou ErrToShot_per_90",erreurs menant à un tir / 90
ProgressivePasses_per90,Contribution à la sortie de balle et à la progression.,PrgP/90s si brut sinon PrgP_per_90,"PrgP, 90s ou PrgP_per_90",passes progressives / 90
LongPass_Accuracy_pct,Précision du jeu long pour renverser ou trouver un ailier.,LongPasses_Completed / LongPasses_Attempted,"LongPasses_Completed, LongPasses_Attempted",précision des passes longues
FinalThirdPasses_per90,Implication dans la projection vers le dernier tiers.,PassesIntoFinalThird/90s si brut sinon PassesIntoFinalThird_per_90,"PassesIntoFinalThird, 90s ou PassesIntoFinalThird_per_90",passes vers le dernier tiers / 90
Recoveries_per90,Récupérations libres et secondes balles.,Recov/90s si brut sinon Recov_per_90,"Recov, 90s ou Recov_per_90",récupérations / 90
DefensiveActions_in_Box_per90,"Interventions dans la surface, zone à haute valeur.",DA_Box/90s si brut sinon DA_Box_per_90,"DA_Box, 90s ou DA_Box_per_90",actions défensives dans la surface / 90
Carry_Progression_per90,Capacité à porter le ballon vers l’avant sous pression.,PrgC/90s si brut sinon PrgC_per_90,"PrgC, 90s ou PrgC_per_90",courses progressives / 90
PassCompletion_pct,Sécurité de la relance courte et conservation.,Cmp / Att,"Cmp, Att",% de passes réussies
